Date,Open,High,Low,Close,Adj Close,Volume
2020-08-21,9.670000,9.750000,9.670000,9.700000,9.700000,266500
2020-08-24,9.700000,9.700000,9.700000,9.700000,9.700000,0
2020-08-25,9.700000,9.700000,9.700000,9.700000,9.700000,100
2020-08-26,9.860000,9.860000,9.760000,9.760000,9.760000,1100
2020-08-27,9.750000,9.920000,9.750000,9.860000,9.860000,822200
2020-08-28,9.810000,9.810000,9.750000,9.750000,9.750000,5300
2020-08-31,9.900000,9.900000,9.780000,9.780000,9.780000,117100
2020-09-01,9.780000,9.780000,9.780000,9.780000,9.780000,800
2020-09-02,9.780000,9.800000,9.780000,9.780000,9.780000,31300
2020-09-03,9.780000,9.800000,9.780000,9.780000,9.780000,193400
2020-09-04,9.780000,9.890000,9.780000,9.810000,9.810000,30500
2020-09-08,9.790000,9.810000,9.790000,9.810000,9.810000,94000
2020-09-09,9.810000,9.810000,9.810000,9.810000,9.810000,11000
2020-09-10,9.780000,9.830000,9.780000,9.810000,9.810000,592600
2020-09-11,9.830000,9.830000,9.800000,9.800000,9.800000,30500
2020-09-14,9.800000,9.800000,9.800000,9.800000,9.800000,5000
2020-09-15,9.800000,9.830000,9.800000,9.830000,9.830000,5500
2020-09-16,9.800000,9.800000,9.800000,9.800000,9.800000,24100
2020-09-17,9.800000,9.840000,9.800000,9.825000,9.825000,8000
2020-09-18,9.900000,9.900000,9.800000,9.810000,9.810000,116700
2020-09-21,9.790000,9.840000,9.790000,9.840000,9.840000,8300
2020-09-22,9.840000,9.840000,9.800000,9.840000,9.840000,3800
2020-09-23,9.840000,9.840000,9.800000,9.800000,9.800000,3200
2020-09-24,9.810000,9.900000,9.800000,9.860000,9.860000,21600
2020-09-25,9.800000,9.860000,9.800000,9.860000,9.860000,700
2020-09-28,9.800000,9.820000,9.800000,9.820000,9.820000,5600
2020-09-29,9.810000,9.860000,9.800000,9.830000,9.830000,326700
2020-09-30,9.840000,9.840000,9.840000,9.840000,9.840000,10700
2020-10-01,9.850000,11.120000,9.800000,9.860000,9.860000,503600
2020-10-02,9.813000,9.830000,9.813000,9.830000,9.830000,1800
2020-10-05,9.810000,9.810000,9.800000,9.800000,9.800000,1900
2020-10-06,9.810000,9.810000,9.800000,9.800000,9.800000,300
2020-10-07,9.820000,9.820000,9.800000,9.820000,9.820000,1200
2020-10-08,9.800000,9.850000,9.800000,9.800000,9.800000,107900
2020-10-09,9.820000,9.820000,9.800000,9.800000,9.800000,165300
2020-10-12,9.800000,9.800000,9.800000,9.800000,9.800000,600
2020-10-13,9.800000,9.800000,9.750000,9.770000,9.770000,106300
