Date,Open,High,Low,Close,Adj Close,Volume
2017-10-20,7.390000,14.470000,7.390000,13.670000,13.670000,588600
2017-10-23,14.000000,14.990000,10.560000,11.500000,11.500000,421600
2017-10-24,11.270000,11.520000,10.131000,10.420000,10.420000,246500
2017-10-25,10.600000,12.000000,9.558000,10.518000,10.518000,507100
2017-10-26,10.390000,11.500000,9.850000,11.070000,11.070000,212400
2017-10-27,11.060000,12.979000,9.050000,9.100000,9.100000,584400
2017-10-30,8.610000,9.350000,6.800000,6.980000,6.980000,503300
2017-10-31,7.210000,7.500000,6.651000,6.910000,6.910000,202300
2017-11-01,6.880000,6.990000,5.156000,5.440000,5.440000,204300
2017-11-02,5.340000,5.370000,4.530000,5.050000,5.050000,188700
2017-11-03,5.200000,6.349000,5.200000,5.560000,5.560000,115500
2017-11-06,5.730000,6.100000,5.680000,5.710000,5.710000,59500
2017-11-07,5.661000,6.787000,5.661000,6.550000,6.550000,164500
2017-11-08,6.450000,7.740000,6.450000,7.510000,7.510000,161600
2017-11-09,7.290000,7.980000,6.836000,6.910000,6.910000,128700
2017-11-10,6.750000,6.900000,5.450000,6.300000,6.300000,72900
2017-11-13,6.070000,6.450000,6.011000,6.210000,6.210000,22300
2017-11-14,6.080000,6.620000,6.080000,6.140000,6.140000,31100
2017-11-15,6.130000,6.271000,5.810000,5.900000,5.900000,22000
2017-11-16,5.950000,6.530000,5.850000,5.850000,5.850000,32800
2017-11-17,5.800000,6.020000,5.800000,5.960000,5.960000,23900
2017-11-20,5.960000,6.186000,5.960000,6.030000,6.030000,13000
2017-11-21,6.013000,6.050000,5.500000,5.760000,5.760000,45200
2017-11-22,5.490000,5.921000,5.260000,5.490000,5.490000,25200
2017-11-24,5.520000,5.890000,5.370000,5.480000,5.480000,19300
2017-11-27,5.895000,5.980000,5.450000,5.450000,5.450000,14200
2017-11-28,5.490000,5.490000,4.640000,5.090000,5.090000,61800
2017-11-29,4.990000,5.220000,4.800000,4.850000,4.850000,21100
2017-11-30,4.850000,5.050000,4.820000,4.890000,4.890000,19600
2017-12-01,4.881000,5.000000,4.320000,4.630000,4.630000,31600
2017-12-04,4.600000,4.600000,3.700000,4.400000,4.400000,19300
2017-12-05,4.240000,4.505000,4.030000,4.460000,4.460000,36100
2017-12-06,4.450000,4.460000,4.000000,4.440000,4.440000,31100
2017-12-07,4.200000,4.430000,4.124000,4.124000,4.124000,9100
2017-12-08,4.200000,4.350000,4.100000,4.180000,4.180000,8500
2017-12-11,4.040000,4.410000,4.030000,4.070000,4.070000,2500
2017-12-12,4.260000,4.780000,4.070000,4.150000,4.150000,35900
2017-12-13,4.360000,4.460000,4.150000,4.200000,4.200000,34800
2017-12-14,4.380000,5.000000,4.230000,4.670000,4.670000,58700
2017-12-15,4.610000,5.490000,4.540000,4.880000,4.880000,61700
2017-12-18,4.850000,5.750000,4.510000,5.380000,5.380000,136600
2017-12-19,5.630000,5.910000,5.010000,5.030000,5.030000,147200
2017-12-20,4.940000,5.560000,4.940000,5.060000,5.060000,34400
2017-12-21,5.100000,5.670000,5.100000,5.130000,5.130000,46800
2017-12-22,5.370000,5.540000,4.880000,5.030000,5.030000,44000
2017-12-26,5.267000,5.360000,4.800000,4.810000,4.810000,18600
2017-12-27,4.959000,5.050000,4.610000,4.610000,4.610000,13100
2017-12-28,4.630000,4.990000,4.494000,4.640000,4.640000,36500
2017-12-29,4.690000,4.870000,4.260000,4.360000,4.360000,78900
2018-01-02,4.400000,4.610000,4.100000,4.570000,4.570000,19300
2018-01-03,4.667000,4.848000,4.430000,4.450000,4.450000,12600
2018-01-04,4.310000,4.560000,4.260000,4.330000,4.330000,17300
2018-01-05,4.450000,5.170000,4.450000,4.700000,4.700000,104800
2018-01-08,4.770000,6.500000,4.770000,5.830000,5.830000,850800
2018-01-09,5.700000,6.080000,5.120000,5.870000,5.870000,134500
2018-01-10,5.820000,6.990000,5.431000,6.380000,6.380000,317700
2018-01-11,6.280000,6.750000,6.110000,6.280000,6.280000,85500
2018-01-12,6.140000,6.440000,5.220000,5.340000,5.340000,119000
2018-01-16,5.340000,5.610000,5.290000,5.510000,5.510000,51500
2018-01-17,5.560000,5.690000,4.640000,5.247000,5.247000,42600
2018-01-18,5.270000,5.361000,5.190000,5.190000,5.190000,9100
